Page ID,Page name,Disclaimer,Amount spent (USD)
230201093693895,Betsy Johnson,Run Betsy Run,5011
143055773143383,Patients For Affordable Drugs NOW,Patients for Affordable Drugs Now,1597
215653202574079,Future Majority,"Future Majority, Inc",1321
104294461919852,People For Portland,People For Portland,860
18982436812,ACLU,American Civil Liberties Union,407
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,388
127225910653607,PragerU,PragerU,366
108715768240523,Citizens Bulletin,House Majority Forward,361
958387170854719,Renew Oregon,Renew Oregon Action Fund,243
6204742571,Sierra Club,SIERRA CLUB,239
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,227
203805062990264,Ben Shapiro,The Daily Wire,207
15771560300,Earthjustice,EARTHJUSTICE,192
101828156534504,He Gets Us,He Gets Us LLC,188
102391291904684,Marcus Flowers For Congress,Marcus Flowers for Congress,188
87186661244,Johns Hopkins Bloomberg School of Public Health,Johns Hopkins Bloomberg School of Public Health,185
108774614054683,American Edge Project,American Edge,174
305380096638473,Charles Booker,Booker for Kentucky,162
228754857151053,House Majority PAC,House Majority PAC,162
110022477032429,Admiral Mike Franken,"MICHAEL FRANKEN FOR IOWA, INC",147
201248453800242,My Pay My Say,Mackinac Center for Public Policy,142
385473284886474,Hillsdale College,Hillsdale College,133
134498556891640,Val Demings,Val Demings for U.S. Senate,131
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,119
214821605377109,Stacey Abrams,Stacey Abrams for Governor,118
112174383865124,Our Jobs Our Voice,Our Jobs Our Voice,116
92925746942,Judicial Watch,Judicial Watch,114
121268821249550,World Central Kitchen,World Central Kitchen,112
40217893542,AIPAC,AIPAC,112
107500120800840,Partnership for Energy Progress,Partnership for Energy Progress,111
140357056032320,NEA Today,National Education Association,111
20531316728,Facebook App,"Facebook, Inc.",105
570092813023833,Matt Walsh,The Daily Wire,103
114008535880,Foundation for Individual Rights in Education,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,102
7192716362,Amnesty International USA,"AMNESTY INTERNATIONAL OF THE U. S. A., INC.",102
26442402549,American Hotel & Lodging Association -  AHLA,American Hotel and Lobbying Association,≤100
1593518174052711,Candace Owens,Daily Wire,≤100
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,≤100
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,≤100
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,≤100
11791104453,NRDC,Natural Resources Defense Council,≤100
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,≤100
140499052681592,Bank of the West,BANK OF THE WEST,≤100
215199482635728,Alek Skarlatos,ALEK FOR OREGON,≤100
441242156439675,Jessica Cisneros,Jessica Cisneros for Congress,≤100
72931140459,Center for Biological Diversity,"CENTER FOR BIOLOGICAL DIVERSITY, INC.",≤100
27544763621,Prison Fellowship,Prison Fellowship,≤100
195530607702732,Shelly Boshart Davis,Friends of Shelly Boshart Davis,≤100
197908256931216,Tim Ryan,TIM RYAN FOR OHIO,≤100
19972147679,SEIU,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),≤100
73528878871,Center for Reproductive Rights,Center for Reproductive Rights,≤100
108006678504753,Elect Terry Massey for Columbia County Sheriff,Terry Massey Jr.,≤100
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,≤100
428821014132730,Katie Porter,Katie Porter For Congress,≤100
154288660614,Oregon Republican Party,Oregon Republican Party,≤100
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",≤100
193477921051,Oregon Family Council,"OREGON FAMILY COUNCIL, INC.",≤100
123500462249,Oregon Food Bank,"OREGON FOOD BANK, INC.",≤100
309308412520731,Sandy Hook Promise,Sandy Hook Promise,≤100
85337666730,Republican Governors Association (RGA),REPUBLICAN GOVERNORS ASSOCIATION,≤100
5720973755,Defenders of Wildlife,DEFENDERS OF WILDLIFE,≤100
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",≤100
1632814840319802,John Fetterman,Fetterman for PA,≤100
100104419147228,Do Good Chicken,DO GOOD FOODS LLC,≤100
7263476274,Mercy Corps,Mercy Corps,≤100
1435071773455316,Daily Wire,The Daily Wire,≤100
112717068080036,Corporate Bought Betsy,Corporate Bought Betsy,≤100
223055747744143,Beto O'Rourke,Beto for Texas,≤100
694421074725614,Marc Thielman for Oregon Governor,Marc For Oregon,≤100
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,≤100
121268821249550,World Central Kitchen,WORLD CENTRAL KITCHEN INC,≤100
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,≤100
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,≤100
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",≤100
51405613519,Focus on the Family,Focus on the Family,≤100
20787991568,Senate Democrats,DSCC,≤100
613495702103470,Periodic Fables,"CENTER FOR CONSUMER FREEDOM, THE",≤100
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,≤100
42872222699,Dana Loesch,The Association of Mature American Citizens Inc,≤100
2602473023098666,Democratic Polling Center,Democratic Governors Association,≤100
7341997111,Conservation International,Conservation International,≤100
318196171580489,Ron DeSantis,Friends of Ron DeSantis,≤100
7030901126,Campaign for Tobacco-Free Kids,TOBACCO-FREE KIDS ACTION FUND,≤100
43287633515,Action for the Climate Emergency,Action for the Climate Emergency,≤100
2353537341582545,Proud Patriots,Proud Patriots,≤100
135332839847855,Abortion Care Network,ABORTION CARE NETWORK,≤100
198024590300902,Josh Shapiro,Josh Shapiro,≤100
156968474833352,Stop Republicans,Stop Republicans,≤100
30914589895,The International Fellowship of Christians and Jews,INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS INC,≤100
8325302025,Friends of the Earth U.S.,Friends of the Earth,≤100
121626482110,Operation Smile,OPERATION SMILE,≤100
169597416843751,Stand Up America,Stand Up America,≤100
12375354406,USO,United Service Organizations,≤100
49651563727,Live Action,Live Action,≤100
83996318078,Change.org,"Change.org, PBC",≤100
148183925283127,Oregon Head Start Association,Oregon Head Start Association,≤100
219242560293,Meals on Wheels America,Meals on Wheels,≤100
15239367801,The Wilderness Society,"WILDERNESS SOCIETY, THE",≤100
109396544993347,Save America,Future Tech Product,≤100
578692095955262,Protect the Promise,Protect the Promise,≤100
51379424899,Mercy Ships,MERCY SHIPS INTERNATIONAL,≤100
673117639774135,Gretchen Whitmer,Gretchen Whitmer for Governor,≤100
100684991996307,November Coalition,NOVEMBER COALITION,≤100
8492293163,Environmental Defense Fund,Environmental Defense Fund,≤100
103565195134756,America First Policy Institute,America First Policy Institute,≤100
7292655492,MoveOn,MOVEON.ORG CIVIC ACTION,≤100
664150390318866,Coalition of Communities of Color,Coalition of Communities of Color,≤100
6514736316,Walden University,Walden University,≤100
253312980194,Community Catalyst,COMMUNITY CATALYST INC,≤100
