Page ID,Page name,Disclaimer,Amount spent (USD)
106568024842114,Rideshare Assault Support,Select Justice LLC,≤100
127225910653607,PragerU,PragerU,≤100
203805062990264,Ben Shapiro,The Daily Wire,≤100
92925746942,Judicial Watch,Judicial Watch,≤100
40217893542,AIPAC,AIPAC,≤100
43287633515,Action for the Climate Emergency,Action for the Climate Emergency,≤100
134498556891640,Val Demings,Val Demings for U.S. Senate,≤100
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,≤100
27544763621,Prison Fellowship,Prison Fellowship,≤100
100104419147228,Do Good Chicken,DO GOOD FOODS LLC,≤100
1435071773455316,Daily Wire,The Daily Wire,≤100
104448208885922,SSDI Help Guide,Better Content Agency LLC,≤100
6514736316,Walden University,Walden University,≤100
1669941646417657,Senior Choice Financial,Andrea Marroquin,≤100
18982436812,ACLU,American Civil Liberties Union,≤100
1593518174052711,Candace Owens,Daily Wire,≤100
376776419037747,Turning Point USA,"Turning Point USA, Inc.",≤100
570092813023833,Matt Walsh,The Daily Wire,≤100
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,≤100
121626482110,Operation Smile,OPERATION SMILE,≤100
102391291904684,Marcus Flowers For Congress,Marcus Flowers for Congress,≤100
114008535880,Foundation for Individual Rights in Education,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,≤100
24470472733,The Trevor Project,The Trevor Project,≤100
104760636770,Vera Institute of Justice,"VERA INSTITUTE OF JUSTICE, INC.",≤100
7030901126,Campaign for Tobacco-Free Kids,TOBACCO-FREE KIDS ACTION FUND,≤100
109714641222949,George for US Congress,FRIENDS OF GEORGE PAPASTRAT,≤100
725736457444853,American Encore,American Encore,≤100
40973310753,Pathfinder International,Pathfinder International,≤100
105812542104705,Ricardo Lara’s Corruption is Making Headlines,Marc Levine for Insurance Commissioner 2022,≤100
1958912674200535,The Pour Over,Pour Over,≤100
410494412686649,Re-Elect Sheriff Jonathon W. Horton,Jonathon Wade Jonathon Wade,≤100
174316279349211,Representative Matthew Bundy,Matthew Bundy for Idaho,≤100
214821605377109,Stacey Abrams,Stacey Abrams for Governor,≤100
144820965676,J. Adam Lowe For TN Senate,Joshua Adam Lowe,≤100
105851068554458,Louis Gill for Supervisor,Gill for Supervisor,≤100
105946117709896,Elect Corey Seats Prosecuting Attorney,Corey Seats for Prosecuting Attorney,≤100
1963834227223718,Britt Raybould for Idaho,Britt Raybould for Idaho,≤100
73012314712,MountainStar Family Relief Nursery,These ads ran without a disclaimer,≤100
1533742286926007,Fran Cavenaugh State Representative District 30,Fran Cavenaugh for State Representative,≤100
192591294101850,Factory Farming Awareness Coalition (FFAC),Factory Farming Awareness Coalition,≤100
536446326706733,Penny Ronning for U.S. Congress,Penny Ronning For US Congress,≤100
1780867608827439,H Fisk Johnson,"S. C. Johnson & Son, Inc.",≤100
103292078953575,Lisa Muetterties for Calaveras County District 3 Supervisor 2022,Lisa Muetterties for Calaveras County Supervisor District 3 2022,≤100
105398812059641,Koenig for Assembly,Committee to Elect Greg Koenig,≤100
222239681125641,Long Beach Firefighters,Long Beach Firefighters,≤100
18079407397,CPAC 2022,AMERICAN CONSERVATIVE UNION,≤100
585942765164217,Elect Democratic Women,ELECT DEMOCRATIC WOMEN,≤100
36872302227,Cory Booker,CORY BOOKER FOR SENATE,≤100
106870361901648,Greg Barnes for Alabama House of Representatives District 13,Greg Barnes for Alabama House of Representatives District 13,≤100
104953088811270,Eric Jackson for Bingham County Commissioner,Eric Jackson for Bingham County Commissioner,≤100
103494271832074,Durfee for Supervisor,Peter Durfee for Supervisor,≤100
681902865206534,Jeff Shipley,Jeffrey James Shipley,≤100
30914589895,The International Fellowship of Christians and Jews,INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS INC,≤100
105227434941203,Jason Paletta for CA Assembly,Jason Paletta for Assembly 2022,≤100
470241276500901,Women Vote,WOMEN VOTE!,≤100
1639262936323284,Angelique Ashby for State Senate,Angelique Ashby for Senate 2022,≤100
202071006601223,GOOD PARTY,THE GOOD PARTY,≤100
101422858844163,Elect Donna Givens,Friends of Donna Givens,≤100
113223650193301,MAGA Revolution,Apse Media LLC,≤100
108635535020855,JT Wu for Georgia,JT Wu for Georgia,≤100
393052450830634,Razom for Ukraine,"RAZOM, INC.",≤100
101875308764837,Devon Holder for Prosecuting Attorney,Devon Nathaniel Holder,≤100
2010946745801079,Jainforgov,Friends of Ashwani Jain,≤100
141972426677848,Dr. Akilah Weber,Akilah Weber For State Assembly,≤100
2602473023098666,Democratic Polling Center,Democratic Governors Association,≤100
103929304678916,Voter Action Project,Integrity First Voter Action Project,≤100
104673965019490,Growing Almonds,ALMOND BOARD OF CALIFORNIA,≤100
779511552180719,Vince Fong,Vince Fong For Assembly,≤100
939431196108377,Julie Tressler,Julie Tressler State House,≤100
223055747744143,Beto O'Rourke,Beto for Texas,≤100
113709691218143,John Williams for District Court Judge,John Williams for District Court Judge,≤100
2210227865866860,Construction Industry Partnership,GROUP 7EVEN LLC,≤100
108061201494790,Will Jones for Prosecuting Attorney,Will Jones for Prosecuting Attorney,≤100
110315034768561,Duncan for Metro,Duncan for Metro,≤100
115379705206001,U.S. Department of Homeland Security Blue Campaign,U.S Department of Homeland Security Blue Campaign,≤100
797121490373293,Dr. Barbara Sharief,Barbara Muhammad Sharief,≤100
579945178720985,Cheri Beasley,CHERI BEASLEY FOR NORTH CAROLINA,≤100
