Page ID,Page name,Disclaimer,Amount spent (USD)
100341625495881,Tumbaeltumbe,"BPUMF, LLC",2181
1669941646417657,Senior Choice Financial,Andrea Marroquin,968
406817633095999,William E. Miranda Torres,Municipio Autónomo de Caguas,256
102808162325044,The Show PR,Twins Theory Corp,196
115195631833717,NAHREP The National Association of Hispanic Real Estate Professionals,NATIONAL ASSOCIATION OF HISPANIC REAL ESTATE PROFESSIONALS,167
1710579622504488,Centro Crece,Ianice Viel Santiago,154
186977768011413,Ironworkers Rising,"International Association of Bridge, Structural, Ornamental, and Reinforcing Iron Workers",≤100
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100
176586965717302,EDP University,These ads ran without a disclaimer,≤100
409703182568632,VAMOS Puerto Rico,VAMOS Concertación Ciudadana,≤100
100954334587083,Alejandro Martínez Alcalde Humacao 2022,Karol Enid Carrasquillo Rodriguez,≤100
383677738397139,Association for Accessible Medicines,Association for Accessible Medicines,≤100
157354480893,Municipio Autónomo de Caguas,Municipio Autónomo de Caguas,≤100
293638600794046,FlixLatino,These ads ran without a disclaimer,≤100
125958377483964,Dune,These ads ran without a disclaimer,≤100
105883445224281,Manuel Quilichini Presidente CAAPR 2022,Manuel Quilichini Presidente CAAPR 2022,≤100
432073053512827,Alvacom Employment Solutions,These ads ran without a disclaimer,≤100
349702751902673,Hereditary Angioedema Association - HAEA,HEREDITARY ANGIOEDEMA ASSOCIATION INC.,≤100
604417679581184,JULIO CESAR SANABRIA,These ads ran without a disclaimer,≤100
683288532059718,H&H Solar,These ads ran without a disclaimer,≤100
108010625216645,Free Mobile Connection,These ads ran without a disclaimer,≤100
1238173096287495,Azur Games,These ads ran without a disclaimer,≤100
106305305057128,WindMar - Sistemas Solares Puerto Rico,These ads ran without a disclaimer,≤100
324828494307293,Jorge J. González 2024,Jorge J. González,≤100
2078647579047586,Project Pulso,Project Pulso,≤100
291819009067,AARP Puerto Rico,AARP,≤100
1547457055530916,Comité  Pip Cayey Oficial,Comité Pip Cayey Oficial,≤100
469660083074097,José Juan Cruz AYO - Legislador Municipal Gurabo,José Cruz,≤100
208006122879550,Ivonne Lozada,Ivonne Lozada Rosas,≤100
172819394085,Amnistia Internacional Puerto Rico,Amnistia Internacional,≤100
290980968206977,GameDay News,These ads ran without a disclaimer,≤100
104760636770,Vera Institute of Justice,"VERA INSTITUTE OF JUSTICE, INC.",≤100
316371675044960,Forward Learning,These ads ran without a disclaimer,≤100
421836407865197,Quiebras Lirio Torres Justiniano,Lirio Del Mar Torres Justiniano,≤100
102861695456347,Gilberto Casul & Windmar Home,These ads ran without a disclaimer,≤100
200990963441531,Boredom Therapy,These ads ran without a disclaimer,≤100
719853864726295,Mindvalley,These ads ran without a disclaimer,≤100
101660089132919,Scanner,These ads ran without a disclaimer,≤100
102040279188611,Support Ukrainians WW,These ads ran without a disclaimer,≤100
102567386503340,Ed Young,These ads ran without a disclaimer,≤100
112231370597778,El Punto. Miguel Antonio,These ads ran without a disclaimer,≤100
503951883021764,ShareTheMeal,These ads ran without a disclaimer,≤100
104237051371667,Fandiem,Fandiem Inc,≤100
158714780827513,UNFPA,These ads ran without a disclaimer,≤100
107508884291511,Power Solar by Jose Álvarez,These ads ran without a disclaimer,≤100
213203182869105,Mafia City,These ads ran without a disclaimer,≤100
1485702154856677,Super Crown - speed crush-4,These ads ran without a disclaimer,≤100
100949305633793,Silent_High Quality113-V,These ads ran without a disclaimer,≤100
105972509425490,Kadist,These ads ran without a disclaimer,≤100
1593945460882954,Seguro Social Orientadores,Seguro Social Orientadores,≤100
0,Instagram User 4939290680,These ads ran without a disclaimer,≤100
476190695732451,Irving Marathon,These ads ran without a disclaimer,≤100
127864438794232,𝓑𝓮𝓪𝓽𝓻𝓲𝔃 𝓜𝓮𝓻𝓲𝔃𝓪𝓵𝓭𝓮,These ads ran without a disclaimer,≤100
106597228718144,Downloader Zb,These ads ran without a disclaimer,≤100
