Page ID,Page name,Disclaimer,Amount spent (USD)
215653202574079,Future Majority,"Future Majority, Inc",2717
106244251043808,America's Plastic Makers,"AMERICAN CHEMISTRY COUNCIL, INC.",1590
325163984681739,Lee Murphy 2022,GOMURPH.COM,875
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",764
1624206881186861,Lisa Blunt Rochester,LISA BLUNT ROCHESTER FOR CONGRESS,746
172014010476,ACLU of Delaware,"AMERICAN CIVIL LIBERTIES UNION OF DELAWARE, INC.",736
127225910653607,PragerU,PragerU,721
100104419147228,Do Good Chicken,DO GOOD FOODS LLC,681
101828156534504,He Gets Us,He Gets Us LLC,568
219224241438635,Compassion & Choices,COMPASSION & CHOICES,452
134498556891640,Val Demings,Val Demings for U.S. Senate,428
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,384
18982436812,ACLU,American Civil Liberties Union,328
131790326853687,Delaware Apartment Association,Delaware Apartment Association,321
1632814840319802,John Fetterman,Fetterman for PA,317
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,285
156201827729615,Delaware House Democrats,Delaware House Democratic Caucus,269
113553048669158,Rick Scott,RICK SCOTT FOR FLORIDA,245
77130778113,Coalition for Medicare Choices,The Coalition for Medicare Choices,239
20531316728,Facebook App,"Facebook, Inc.",223
206226362732803,Inspire Clean Energy,"Inspire Energy Holdings, LLC",217
40217893542,AIPAC,AIPAC,196
102391291904684,Marcus Flowers For Congress,Marcus Flowers for Congress,189
203805062990264,Ben Shapiro,The Daily Wire,182
140357056032320,NEA Today,National Education Association,177
110022477032429,Admiral Mike Franken,"MICHAEL FRANKEN FOR IOWA, INC",156
76470053424,TIAA,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,154
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",153
228754857151053,House Majority PAC,House Majority PAC,152
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,150
100289605857598,United Solutions,United Solutions,148
87186661244,Johns Hopkins Bloomberg School of Public Health,Johns Hopkins Bloomberg School of Public Health,148
27544763621,Prison Fellowship,Prison Fellowship,145
92925746942,Judicial Watch,Judicial Watch,145
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,138
18356619353,The Academy of Natural Sciences,The Academy of Natural Sciences,136
6514736316,Walden University,Walden University,133
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,133
376776419037747,Turning Point USA,"Turning Point USA, Inc.",132
1941356579284705,Rep. Sherry Dorsey Walker,Delaware House Democratic Caucus,130
214821605377109,Stacey Abrams,Stacey Abrams for Governor,126
170755202952885,Ability Network of Delaware,Scribewise,125
114008535880,Foundation for Individual Rights in Education,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,121
111505852238468,AARP Delaware,AARP,120
109270174326468,Rep. Larry Lambert,Delaware House Democrats,119
1593518174052711,Candace Owens,Daily Wire,111
121268821249550,World Central Kitchen,World Central Kitchen,111
108380923919757,Health Insurance Hero,Health Insurance Hero,110
351450241620398,Bryan Shupe Delaware,Bryan Shupe Delaware,106
385473284886474,Hillsdale College,Hillsdale College,105
11791104453,NRDC,Natural Resources Defense Council,≤100
15771560300,Earthjustice,EARTHJUSTICE,≤100
110177119192569,Knightscope,"Knightscope, Inc.",≤100
473191156175163,EDF Action,Environmental Defense Action Fund,≤100
305380096638473,Charles Booker,Booker for Kentucky,≤100
357750373755,National Domestic Workers Alliance,National Domestic Workers Alliance,≤100
198024590300902,Josh Shapiro,Josh Shapiro,≤100
197908256931216,Tim Ryan,TIM RYAN FOR OHIO,≤100
570092813023833,Matt Walsh,The Daily Wire,≤100
223055747744143,Beto O'Rourke,Beto for Texas,≤100
121268821249550,World Central Kitchen,WORLD CENTRAL KITCHEN INC,≤100
428821014132730,Katie Porter,Katie Porter For Congress,≤100
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,≤100
2602473023098666,Democratic Polling Center,Democratic Governors Association,≤100
85337666730,Republican Governors Association (RGA),REPUBLICAN GOVERNORS ASSOCIATION,≤100
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,≤100
20787991568,Senate Democrats,DSCC,≤100
1435071773455316,Daily Wire,The Daily Wire,≤100
112330933631,YWCA Delaware,YWCA  DELAWARE,≤100
7030901126,Campaign for Tobacco-Free Kids,TOBACCO-FREE KIDS ACTION FUND,≤100
345378512258813,Elise Stefanik,ELISE FOR CONGRESS,≤100
100992801635617,Conservative-American.org,Conservative American Strategies,≤100
73528878871,Center for Reproductive Rights,Center for Reproductive Rights,≤100
578692095955262,Protect the Promise,Protect the Promise,≤100
42872222699,Dana Loesch,The Association of Mature American Citizens Inc,≤100
114710126648118,Republican Dogs,Republican Dogs,≤100
130278763707974,Delaware Department of Labor,Delaware Department of Labor,≤100
318196171580489,Ron DeSantis,Friends of Ron DeSantis,≤100
309308412520731,Sandy Hook Promise,Sandy Hook Promise,≤100
304600892905134,Hillsdale College Online Courses,HILLSDALE COLLEGE,≤100
318485024912044,Rep. Paul Baumbach,Delaware House Democratic Caucus,≤100
109681685006865,Affordable Health Savings,Braintrust Interactive,≤100
156968474833352,Stop Republicans,Stop Republicans,≤100
224143668537493,Better Care America,Better Care America,≤100
5720973755,Defenders of Wildlife,DEFENDERS OF WILDLIFE,≤100
109520054693011,Trump Updates,Save America Joint Fundraising Committee,≤100
2353537341582545,Proud Patriots,Proud Patriots,≤100
206677396413254,Abortion On Our Own Terms,Abortion On Our Own Terms,≤100
72931140459,Center for Biological Diversity,"CENTER FOR BIOLOGICAL DIVERSITY, INC.",≤100
112735922758892,Charlie Kirk,"ATK Media, Inc.",≤100
169597416843751,Stand Up America,Stand Up America,≤100
158791100909689,Concerned Veterans for America,Concerned Veterans for America,≤100
219242560293,Meals on Wheels America,Meals on Wheels,≤100
100684991996307,November Coalition,NOVEMBER COALITION,≤100
109125527492224,Bonini for Delaware,Bonini for Delaware,≤100
441242156439675,Jessica Cisneros,Jessica Cisneros for Congress,≤100
108332428289192,Darren Lombardo for Wicomico County Board of Education At Large,Citizens For Darren Lombardo,≤100
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,≤100
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,≤100
51405613519,Focus on the Family,Focus on the Family,≤100
104760636770,Vera Institute of Justice,"VERA INSTITUTE OF JUSTICE, INC.",≤100
369309166748535,Derek Utley,Tomer Barazani,≤100
12375354406,USO,United Service Organizations,≤100
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,≤100
579945178720985,Cheri Beasley,CHERI BEASLEY FOR NORTH CAROLINA,≤100
7341997111,Conservation International,Conservation International,≤100
18983389920,Open Society Foundations,Open Society Foundations,≤100
53541257714,The Arc of the United States,"ARC OF THE UNITED STATES, INC., THE",≤100
297987334762,Jamie Raskin,Jamie Raskin for Congress,≤100
103387395119741,Home Guard,Total Speed Communications,≤100
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC",≤100
114720264544782,Moving Forward,Seniors Today USA,≤100
25852730092,Care2,"Care2.com, Inc",≤100
107005161695319,Herschel Walker,"TEAM HERSCHEL, INC.",≤100
520408078439335,Rep. Krista Griffith,Delaware House Democratic Caucus,≤100
103839541551153,Rep. Eric Morrison,Delaware House Democrats,≤100
107391351117812,National Women's Law Center Action Fund,National Women's Law Center Action Fund,≤100
43287633515,Action for the Climate Emergency,Action for the Climate Emergency,≤100
103565195134756,America First Policy Institute,America First Policy Institute,≤100
106568024842114,Rideshare Assault Support,Select Justice LLC,≤100
22067606728,Allen West,The Association of Mature American Citizens Inc,≤100
7030901126,Campaign for Tobacco-Free Kids,Campaign for Tobacco-Free Kids,≤100
586963558438365,P-Valley,These ads ran without a disclaimer,≤100
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,≤100
100146652437834,Life is For Thriving,Life is For Thriving,≤100
8492293163,Environmental Defense Fund,Environmental Defense Fund,≤100
585942765164217,Elect Democratic Women,ELECT DEMOCRATIC WOMEN,≤100
30914589895,The International Fellowship of Christians and Jews,INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS INC,≤100
443329669123990,USAFacts,USAFacts Institute,≤100
776751475710652,Charles Postles,"Delaware State House of Representatives, Republican Caucus",≤100
67626834312,National Women's Law Center,National Women's Law Center,≤100
83996318078,Change.org,"Change.org, PBC",≤100
673117639774135,Gretchen Whitmer,Gretchen Whitmer for Governor,≤100
