Page ID,Page name,Disclaimer,Amount spent (USD)
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,803
309308412520731,Sandy Hook Promise,Sandy Hook Promise,412
570092813023833,Matt Walsh,The Daily Wire,275
1435071773455316,Daily Wire,The Daily Wire,204
12375354406,USO,United Service Organizations,203
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,178
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,148
2005593623024412,adidas,"ADIDAS AMERICA, INC.",109
1593518174052711,Candace Owens,Daily Wire,104
203805062990264,Ben Shapiro,The Daily Wire,≤100
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,≤100
186805048171120,U.S. LawShield,U.S. LawShield,≤100
18982436812,ACLU,American Civil Liberties Union,≤100
87186661244,Johns Hopkins Bloomberg School of Public Health,Johns Hopkins Bloomberg School of Public Health,≤100
18761899085,Nebraska Republican Party,Nebraska Republican Party,≤100
102558898865449,Don't Break What Works,COMPUTER & COMMUNICATIONS INDUSTRY ASSOCIATION,≤100
106470774923973,Nomi Health,"Nomi Health, Inc.",≤100
318551944941774,Patty Pansing Brooks,PATTY FOR CONGRESS,≤100
27544763621,Prison Fellowship,Prison Fellowship,≤100
6236054211,Brady: United Against Gun Violence,Brady Campaign to Prevent Gun Violence,≤100
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",≤100
127225910653607,PragerU,PragerU,≤100
101229565835425,Agenda for America,Agenda for America,≤100
201248453800242,My Pay My Say,Mackinac Center for Public Policy,≤100
92925746942,Judicial Watch,Judicial Watch,≤100
113553048669158,Rick Scott,RICK SCOTT FOR FLORIDA,≤100
187741797907314,The American Society of Anesthesiologists (ASA),"AMERICAN SOCIETY OF ANESTHESIOLOGISTS, INC., THE",≤100
188922197885668,Omaha Public Power District,Omaha Public Power District,≤100
40217893542,AIPAC,AIPAC,≤100
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC",≤100
109681685006865,Affordable Health Savings,Braintrust Interactive,≤100
114008535880,Foundation for Individual Rights in Education,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,≤100
223055747744143,Beto O'Rourke,Beto for Texas,≤100
100104419147228,Do Good Chicken,DO GOOD FOODS LLC,≤100
51405613519,Focus on the Family,Focus on the Family,≤100
341442011598,Blue Valley Community Action Partnership - BVCA,Blue Valley Community Action Partnership,≤100
100776719189544,Tell Congress: Don't Let China Pull Ahead,Taxpayers Protection Alliance,≤100
197908256931216,Tim Ryan,TIM RYAN FOR OHIO,≤100
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,≤100
102391291904684,Marcus Flowers For Congress,Marcus Flowers for Congress,≤100
7030901126,Campaign for Tobacco-Free Kids,TOBACCO-FREE KIDS ACTION FUND,≤100
108380923919757,Health Insurance Hero,Health Insurance Hero,≤100
2353537341582545,Proud Patriots,Proud Patriots,≤100
1883837055193241,Shield Republic,Shield Republic,≤100
85337666730,Republican Governors Association (RGA),REPUBLICAN GOVERNORS ASSOCIATION,≤100
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,≤100
228754857151053,House Majority PAC,House Majority PAC,≤100
940653386126953,StandingWithYou.org,Standingwithyou.org,≤100
206677396413254,Abortion On Our Own Terms,Abortion On Our Own Terms,≤100
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,≤100
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,≤100
110022477032429,Admiral Mike Franken,"MICHAEL FRANKEN FOR IOWA, INC",≤100
873203482775828,Poor People's Campaign: A National Call for Moral Revival,Poor People's Campaign,≤100
134498556891640,Val Demings,Val Demings for U.S. Senate,≤100
318196171580489,Ron DeSantis,Friends of Ron DeSantis,≤100
140499052681592,Bank of the West,BANK OF THE WEST,≤100
121268821249550,World Central Kitchen,World Central Kitchen,≤100
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",≤100
42872222699,Dana Loesch,The Association of Mature American Citizens Inc,≤100
702582586516561,CBN Israel,"The Christian Broadcasting Network, Inc.",≤100
866779926670025,Citizens for Tobacco Rights,Citizens for Tobacco Rights,≤100
57259033959,AARP,AARP,≤100
100436185971049,SmartChoice Assist,"ZAN Media, Inc.",≤100
100992801635617,Conservative-American.org,Conservative American Strategies,≤100
253312980194,Community Catalyst,COMMUNITY CATALYST INC,≤100
114720264544782,Moving Forward,Seniors Today USA,≤100
15771560300,Earthjustice,EARTHJUSTICE,≤100
25852730092,Care2,"Care2.com, Inc",≤100
49651563727,Live Action,Live Action,≤100
158791100909689,Concerned Veterans for America,Concerned Veterans for America,≤100
24470472733,The Trevor Project,The Trevor Project,≤100
6514736316,Walden University,Walden University,≤100
571748412859876,Matt Rosendale,Matt Rosendale for Montana,≤100
385473284886474,Hillsdale College,Hillsdale College,≤100
679171239164792,Supermajority,Supermajority,≤100
166618413413767,Jay Sekulow,American Center for Law and Justice,≤100
150681061641282,Tri-State G&T,Tri-State Generation Transmission Association Inc,≤100
802271849850801,Freedom for All Americans,Freedom for All Americans,≤100
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,≤100
101922748750414,BRAVE Books,Brave Books LLC,≤100
191195674423572,Great Plains Tribal Leaders Health Board,GREAT PLAINS TRIBAL CHAIRMEN'S HEALTH BOARD,≤100
261951940219,Goldman Environmental Prize,Goldman Environmental Foundation,≤100
248181906078243,National Institute for Civil Discourse,CommonSense American,≤100
20787991568,Senate Democrats,DSCC,≤100
103565195134756,America First Policy Institute,America First Policy Institute,≤100
100146652437834,Life is For Thriving,Life is For Thriving,≤100
49275915266,MSI Reproductive Choices,MSI-US,≤100
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,≤100
286832976815,Project Harmony,Project Harmony,≤100
118303441570966,Homeowner Smart,NATIONAL ASSOCIATION OF REALTORS,≤100
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",≤100
1209457952426541,NILC Immigrant Justice Fund,NILC Immigrant Justice Fund,≤100
83290028957,Care Net,CARE NET,≤100
333710103706307,Giffords,GIFFORDS PAC,≤100
109520054693011,Trump Updates,Save America Joint Fundraising Committee,≤100
46093654473,National Republican Congressional Committee,NRCC,≤100
107005161695319,Herschel Walker,"TEAM HERSCHEL, INC.",≤100
107864891924140,Self-Checkout Theft Discrimination,Tort Group LLC,≤100
711478725532801,Civiqs,Civiqs,≤100
34370387440,JDRF,JDRF INTERNATIONAL,≤100
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,≤100
43287633515,Action for the Climate Emergency,Action for the Climate Emergency,≤100
5720973755,Defenders of Wildlife,DEFENDERS OF WILDLIFE,≤100
1958912674200535,The Pour Over,Pour Over,≤100
19554217292,American Heart Association: You're the Cure,American Heart Association,≤100
83996318078,Change.org,"Change.org, PBC",≤100
1600352356914768,PushBlack,PushBlack,≤100
114710126648118,Republican Dogs,Republican Dogs,≤100
120508174766712,Rejuvenating Women,Rejuvenating Women,≤100
110947388286801,Charities for Vets,RAM Veterans Foundation,≤100
