Page ID,Page name,Disclaimer,Amount spent (USD)
219224241438635,Compassion & Choices,COMPASSION & CHOICES,1819
309308412520731,Sandy Hook Promise,Sandy Hook Promise,313
154971387874165,Delaware Department of Health and Social Services (DHSS),Delaware Department of Health and Social Services,236
1994713000773597,Help Is Here,Delaware Department of Health and Social Services,164
215653202574079,Future Majority,"Future Majority, Inc",141
12375354406,USO,United Service Organizations,≤100
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,≤100
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",≤100
570092813023833,Matt Walsh,The Daily Wire,≤100
1624206881186861,Lisa Blunt Rochester,LISA BLUNT ROCHESTER FOR CONGRESS,≤100
325163984681739,Lee Murphy 2022,GOMURPH.COM,≤100
2005593623024412,adidas,"ADIDAS AMERICA, INC.",≤100
51405613519,Focus on the Family,Focus on the Family,≤100
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,≤100
1435071773455316,Daily Wire,The Daily Wire,≤100
100146652437834,Life is For Thriving,Life is For Thriving,≤100
6236054211,Brady: United Against Gun Violence,Brady Campaign to Prevent Gun Violence,≤100
87186661244,Johns Hopkins Bloomberg School of Public Health,Johns Hopkins Bloomberg School of Public Health,≤100
18982436812,ACLU,American Civil Liberties Union,≤100
197908256931216,Tim Ryan,TIM RYAN FOR OHIO,≤100
109681685006865,Affordable Health Savings,Braintrust Interactive,≤100
102391291904684,Marcus Flowers For Congress,Marcus Flowers for Congress,≤100
27544763621,Prison Fellowship,Prison Fellowship,≤100
134498556891640,Val Demings,Val Demings for U.S. Senate,≤100
223055747744143,Beto O'Rourke,Beto for Texas,≤100
228754857151053,House Majority PAC,House Majority PAC,≤100
96935476345,Democratic Governors Association (DGA),"Democratic Action, democraticgovernors.org, not authorized by any candidate or candidate's committee.",≤100
121268821249550,World Central Kitchen,World Central Kitchen,≤100
1593518174052711,Candace Owens,Daily Wire,≤100
203805062990264,Ben Shapiro,The Daily Wire,≤100
110022477032429,Admiral Mike Franken,"MICHAEL FRANKEN FOR IOWA, INC",≤100
18356619353,The Academy of Natural Sciences,The Academy of Natural Sciences,≤100
114720264544782,Moving Forward,Seniors Today USA,≤100
138421929515650,Delaware Republican Party,REPUBLICAN STATE COMMITTEE OF DELAWARE,≤100
108380923919757,Health Insurance Hero,Health Insurance Hero,≤100
127225910653607,PragerU,PragerU,≤100
6514736316,Walden University,Walden University,≤100
113553048669158,Rick Scott,RICK SCOTT FOR FLORIDA,≤100
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,≤100
40217893542,AIPAC,AIPAC,≤100
187741797907314,The American Society of Anesthesiologists (ASA),"AMERICAN SOCIETY OF ANESTHESIOLOGISTS, INC., THE",≤100
114008535880,Foundation for Individual Rights in Education,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,≤100
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,≤100
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC",≤100
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,≤100
100436185971049,SmartChoice Assist,"ZAN Media, Inc.",≤100
100104419147228,Do Good Chicken,DO GOOD FOODS LLC,≤100
351450241620398,Bryan Shupe Delaware,Bryan Shupe Delaware,≤100
873203482775828,Poor People's Campaign: A National Call for Moral Revival,Poor People's Campaign,≤100
92925746942,Judicial Watch,Judicial Watch,≤100
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,≤100
206677396413254,Abortion On Our Own Terms,Abortion On Our Own Terms,≤100
130278763707974,Delaware Department of Labor,Delaware Department of Labor,≤100
29770886815,Marijuana Policy Project,MARIJUANA POLICY PROJECT,≤100
333710103706307,Giffords,GIFFORDS PAC,≤100
2353537341582545,Proud Patriots,Proud Patriots,≤100
7341997111,Conservation International,Conservation International,≤100
118303441570966,Homeowner Smart,NATIONAL ASSOCIATION OF REALTORS,≤100
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,≤100
15771560300,Earthjustice,EARTHJUSTICE,≤100
2602473023098666,Democratic Polling Center,Democratic Governors Association,≤100
866779926670025,Citizens for Tobacco Rights,Citizens for Tobacco Rights,≤100
57259033959,AARP,AARP,≤100
318196171580489,Ron DeSantis,Friends of Ron DeSantis,≤100
7030901126,Campaign for Tobacco-Free Kids,TOBACCO-FREE KIDS ACTION FUND,≤100
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,≤100
20787991568,Senate Democrats,DSCC,≤100
